mom_cohort,mom_tag,pup_cohort,pup_tag
PP(2),432,PG(1),113
WB(2),253,OO(3),113
WB(2),499,WW(2),113
WR(1),110,GW(2),113
BP(1),358,FB(1),114
GR(2),419,RW(1),114
GW(2),283,PG(1),114
PP(2),321,YO(1),114
YY(2),198,GW(2),114
YY(2),358,GR(2),114
BB(2),37,GW(2),115
BB(2),409,GR(2),115
BP(1),184,LB(2),115
YY(2),491,YO(1),115
BB(2),376,GW(2),116
GR(2),174,RW(1),117
LB(2),1,PG(1),117
OB(1),165,LB(2),117
WB(1),60,WB(2),117
WW(1),157,FB(1),117
BB(2),264,FB(1),118
LB(2),435,RW(1),118
OB(1),237,PG(1),118
PO(1),251,LB(2),118
RR(2),206,GR(2),118
GG(1),34,PG(1),119
LB(2),78,YY(3),119
RR(2),61,OB(2),119
WB(1),60,GR(2),119
YY(2),6,YO(1),119
GW(2),44,PG(1),120
OB(2),47,YO(1),120
OY(1),31,FB(1),120
BB(2),190,FB(1),121
BB(2),239,LB(2),121
BP(1),396,GG(2),121
LB(2),1,BB(3),121
OB(2),218,OO(3),121
PG(1),128,WW(2),121
WW(2),258,YY(3),121
YY(2),6,PG(1),121
YY(2),137,OB(2),121
GG(2),48,BB(3),122
LB(2),1,OO(3),122
OB(1),170,FB(1),122
OB(2),37,WW(2),122
OB(2),70,WB(2),122
OB(2),218,GG(2),122
RR(2),127,GR(2),122
RW(1),332,YY(3),122
WW(1),372,OB(2),122
GG(1),331,OB(2),123
OB(1),170,PG(1),123
OB(2),37,GG(2),123
OB(2),218,BB(3),123
PP(2),78,GR(2),123
YO(1),146,OO(3),123
YY(2),6,YY(3),123
BP(1),33,GW(2),124
FB(1),454,YO(1),124
GW(2),121,PG(1),124
OB(2),37,YY(3),124
OO(2),11,LB(2),124
RR(2),450,OB(2),124
WB(2),191,BB(3),124
BB(2),54,LB(2),125
FB(1),57,YO(1),125
PG(1),128,BB(3),125
PG(1),128,YY(3),125
YO(1),371,GG(2),125
BB(2),255,FB(1),126
GG(2),145,YY(3),126
PP(2),293,WB(2),126
PP(2),413,OB(2),126
WB(2),166,BB(3),126
WB(2),285,OO(3),126
YO(1),5,GG(2),126
BB(2),71,FB(1),127
BB(2),189,LB(2),127
PG(1),128,OO(3),127
PG(1),439,WW(2),127
PO(1),162,GR(2),127
RW(1),185,BB(3),127
WW(2),473,YY(3),127
BB(2),220,FB(1),128
LB(2),1,YY(3),128
OO(2),267,GW(2),128
YY(2),24,LB(2),128
YY(2),491,PG(1),128
WB(1),60,YO(1),129
WW(2),134,YY(3),129
YY(2),220,GR(2),129
YY(2),289,FB(1),129
FB(1),393,YO(1),130
PO(1),162,OB(2),130
PO(1),183,GW(2),130
PP(2),349,GR(2),130
RR(2),101,FB(1),130
WB(1),60,GG(2),130
WR(1),93,PG(1),130
YO(1),6,OO(3),130
BB(2),264,GW(2),131
GG(2),400,BB(3),131
LB(2),117,PG(1),131
PP(2),31,GG(2),131
PP(2),31,GR(2),131
RR(2),283,FB(1),131
BB(2),97,PG(1),132
GR(2),174,GG(2),132
GW(2),57,GR(2),132
YY(2),480,LB(2),132
BB(2),255,LB(2),133
BP(1),55,YO(1),133
BP(1),358,OB(2),133
FB(1),47,PG(1),133
LB(2),149,WB(2),133
OB(2),215,GG(2),133
RR(2),15,GR(2),133
BF(1),118,OB(2),134
GG(1),176,LB(2),134
OB(2),69,GG(2),134
OO(2),133,GR(2),134
WW(1),61,YO(1),134
WW(1),372,OO(3),134
YY(2),87,PG(1),134
BB(2),169,FB(1),135
FB(1),304,WB(2),135
OB(1),170,YO(1),135
PG(1),18,GG(2),135
RR(2),73,OB(2),135
WB(1),378,LB(2),135
YO(1),53,OO(3),135
BB(2),95,YO(1),136
BB(2),409,OB(2),136
BP(1),55,PG(1),136
GG(1),261,GW(2),136
GR(2),231,RW(1),136
GR(2),283,YY(3),136
OB(2),60,WB(2),136
WW(1),372,BB(3),136
YY(2),39,LB(2),136
GG(2),205,YY(3),137
OB(2),163,WB(2),137
PG(1),287,GG(2),137
RR(2),111,FB(1),137
YY(2),448,OB(2),137
OB(2),49,GG(2),138
OB(2),218,WB(2),138
WB(2),421,YY(3),138
BB(2),408,WW(2),139
OO(2),70,GW(2),139
PP(2),131,OB(2),139
RR(2),246,YO(1),139
YO(1),184,OO(3),139
BB(2),95,GW(2),140
LB(2),117,WB(2),140
YY(2),463,BB(3),140
YY(2),463,YY(3),140
FB(1),137,YO(1),141
GW(2),67,GR(2),141
OB(2),37,RW(1),141
OB(2),46,WB(2),141
PG(1),337,OO(3),141
WW(1),229,GW(2),141
YO(1),116,YY(3),141
YY(2),6,GG(2),141
BP(1),27,RW(1),142
GR(2),308,GG(2),142
LB(1),96,FB(1),142
LB(2),44,PG(1),142
PP(2),323,OB(2),142
YO(1),6,BB(3),142
GW(2),44,GR(2),143
OO(2),336,GW(2),143
YY(2),6,RW(1),143
YY(2),6,WB(2),143
BB(2),257,FB(1),144
RR(2),405,WB(2),144
WB(2),189,OO(3),144
BB(2),220,GW(2),145
GG(2),16,YY(3),145
PG(1),250,BB(3),145
PG(1),337,GG(2),145
WR(1),93,YO(1),145
BB(2),245,GG(2),146
RW(1),148,BB(3),146
YO(1),53,WW(2),146
YY(2),20,GR(2),146
BB(2),245,FB(1),147
OB(1),165,YO(1),147
WR(1),93,WB(2),147
YO(1),378,WW(2),147
GG(2),180,BB(3),148
GR(2),373,OO(3),148
GR(2),461,YY(3),148
PO(1),162,PG(1),148
RR(2),376,LB(2),148
FB(1),393,PG(1),149
GR(2),140,BB(3),149
PG(1),470,WW(2),149
PP(2),40,GG(2),149
RR(2),101,OB(2),149
YO(1),73,OO(3),149
PP(2),40,WB(2),150
PP(2),40,YO(1),150
RR(2),61,PG(1),150
RW(1),58,BB(3),150
GW(2),255,YO(1),151
OB(2),514,RW(1),151
WB(2),58,WW(2),151
YO(1),32,BB(3),151
YY(2),358,LB(2),151
BB(2),257,GW(2),152
RR(2),116,WB(2),152
GW(2),136,WB(2),153
OB(2),46,OO(3),153
OB(2),371,YO(1),153
WW(1),372,PG(1),153
GG(2),156,YY(3),154
GW(2),121,YO(1),154
WW(1),58,OB(2),154
YY(2),104,LB(2),154
GW(1),506,LB(2),155
OB(2),46,RW(1),155
RR(2),274,FB(1),155
WB(1),60,PG(1),155
YO(1),146,GG(2),155
BP(1),27,OB(2),156
BP(1),55,WB(2),156
GR(1),76,YY(3),156
OB(2),84,GG(2),156
OB(2),287,BB(3),156
FB(1),348,WB(2),157
GG(2),222,BB(3),157
PG(1),439,GG(2),157
RR(2),11,FB(1),157
WB(2),280,OO(3),157
WW(1),227,YO(1),157
BB(2),255,OB(2),158
OY(1),288,FB(1),158
PG(1),169,GG(2),158
PP(2),413,GR(2),158
RR(2),116,BB(3),158
RW(1),240,OO(3),158
YY(2),220,LB(2),158
FB(1),427,WB(2),159
GW(2),427,YO(1),159
OB(2),46,YY(3),159
WB(2),496,OO(3),159
YO(1),64,GG(2),159
GG(1),72,GW(2),160
OB(2),223,YO(1),160
FB(1),380,PG(1),161
FB(1),451,WB(2),161
GG(2),232,BB(3),161
RR(2),389,OB(2),161
WB(2),173,WW(2),161
WR(1),157,LB(2),161
GR(2),326,WB(2),162
LB(2),124,PG(1),162
OB(2),427,RW(1),162
OY(1),73,YO(1),162
RW(1),221,OO(3),162
YY(2),190,OB(2),162
GR(2),174,YY(3),163
GW(2),186,PG(1),163
LB(2),24,GR(2),163
OY(1),96,LB(2),163
RR(2),116,PG(1),164
RR(2),116,OB(2),164
GW(2),83,PG(1),165
GW(2),340,OB(2),165
LB(2),338,GR(2),165
PO(1),224,GW(2),165
YY(2),432,FB(1),165
FB(1),427,GG(2),166
WW(2),232,YY(3),166
YO(1),525,OO(3),166
FB(1),173,WB(2),167
LB(2),149,YO(1),167
LB(2),160,GG(2),167
LB(2),263,PG(1),167
OO(2),133,LB(2),167
RR(2),376,OB(2),167
WW(1),380,GR(2),167
YY(2),104,GW(2),167
FB(1),27,YO(1),168
OO(2),336,FB(1),168
WB(2),189,YY(3),168
WW(1),396,LB(2),168
BB(2),409,GW(2),169
WB(2),242,OO(3),169
YO(1),116,BB(3),169
BB(2),326,GR(2),170
BB(2),409,YO(1),170
GR(2),140,YY(3),170
GR(2),219,WB(2),170
GW(2),466,PG(1),170
GW(2),466,OB(2),170
PG(1),18,OO(3),170
RR(2),61,LB(2),170
YO(1),113,GG(2),170
FB(1),304,YO(1),171
GW(2),37,WB(2),171
GW(2),344,PG(1),171
PG(1),399,GG(2),171
RR(2),247,OB(2),171
WB(2),169,BB(3),171
YY(2),318,LB(2),171
RR(2),101,WB(2),172
RR(2),127,YO(1),172
RW(1),291,YY(3),172
WW(1),350,OB(2),172
YY(2),26,GW(2),172
FB(1),137,WB(2),173
GG(2),117,YY(3),173
GW(2),186,OB(2),174
PP(2),58,WB(2),174
WW(1),372,YO(1),174
YO(1),258,OO(3),174
YO(1),362,WW(2),174
LB(2),149,WW(2),175
PP(2),186,OB(2),175
GR(2),326,RW(1),176
RR(2),450,GR(2),176
BB(2),264,OB(2),177
GR(2),270,OO(3),177
LB(2),203,YO(1),177
RR(2),61,GR(2),177
WW(1),227,LB(2),177
YO(1),32,WW(2),177
BB(2),143,GR(2),178
BP(1),139,LB(2),178
GG(2),386,YY(3),178
YY(2),550,BB(3),178
BB(2),37,PG(1),179
GR(2),444,OO(3),179
LB(2),435,YO(1),179
OO(2),91,LB(2),179
WB(2),37,BB(3),179
YO(1),8,YY(3),179
FB(1),228,YO(1),180
GR(2),297,RW(1),180
OB(1),285,FB(1),180
YO(1),5,WW(2),180
YY(2),40,LB(2),180
BB(2),245,WB(2),181
BP(1),184,YO(1),181
GW(2),278,OB(2),181
GW(2),418,YY(3),181
GW(2),430,GR(2),181
PG(1),370,GG(2),181
WB(2),32,WW(2),181
YY(2),237,PG(1),181
BB(2),169,PG(1),182
FB(1),137,RW(1),182
PG(1),281,OO(3),182
PP(2),58,YO(1),182
YY(2),260,OB(2),182
FB(1),137,PG(1),183
GG(1),57,YO(1),183
GG(2),5,BB(3),183
OB(2),84,WB(2),183
OO(2),28,LB(2),183
PO(1),252,OB(2),183
PP(2),131,GR(2),183
WB(2),381,YY(3),183
BB(2),18,OB(2),184
YY(2),33,WB(2),184
BB(2),257,PG(1),185
BP(1),275,GG(2),185
LB(2),9,WB(2),185
PG(1),311,WW(2),185
PP(2),137,OB(2),185
RR(2),247,OO(3),185
WB(2),173,BB(3),185
GW(2),150,OB(2),186
OB(1),285,PG(1),186
OB(2),28,WW(2),186
RW(1),178,YY(3),186
WW(1),372,GG(2),186
YY(2),198,OO(3),186
OB(2),301,WB(2),187
PP(2),186,YO(1),187
GR(2),404,WB(2),188
GW(2),451,GR(2),188
RW(1),265,BB(3),188
WW(1),117,FB(1),188
YY(2),20,LB(2),188
YY(2),480,PG(1),188
BB(2),189,FB(1),189
LB(2),384,GR(2),189
PG(1),18,YY(3),189
PP(2),279,GG(2),189
RR(2),423,WW(2),189
WW(1),227,WB(2),189
YY(2),189,PG(1),189
BB(2),245,OO(3),190
GW(2),225,GR(2),190
OB(2),363,YO(1),190
YY(2),6,OB(2),190
GR(2),173,GG(2),191
GR(2),518,WB(2),191
OB(2),331,YO(1),191
FB(1),221,WB(2),192
GR(2),270,YY(3),192
OB(2),49,YO(1),192
YY(2),10,GW(2),192
FB(1),11,WW(2),193
RW(1),265,YY(3),193
WW(1),259,YO(1),193
YY(2),127,LB(2),193
RR(2),376,YO(1),194
YO(1),379,GG(2),194
YY(2),254,LB(2),194
BP(1),396,YO(1),195
FB(1),11,RW(1),195
GR(2),444,YY(3),195
YO(1),8,GG(2),195
YY(2),70,PG(1),195
YY(2),448,GR(2),195
BB(2),18,FB(1),196
BB(2),326,WB(2),196
GR(2),278,YY(3),196
LB(2),279,PG(1),196
WR(1),264,OO(3),196
FB(1),57,OO(3),197
FB(1),133,GG(2),197
LB(2),174,PG(1),197
YY(2),33,YO(1),197
GG(2),306,YY(3),198
GR(2),140,WB(2),198
LB(2),149,RW(1),198
PO(1),163,GW(2),198
YO(1),1,BB(3),198
YY(2),260,LB(2),198
GR(2),173,RW(1),199
OY(1),96,GW(2),199
YY(2),240,GR(2),199
GG(1),57,PG(1),200
GW(2),136,YO(1),200
OB(1),34,FB(1),200
YY(2),91,LB(2),200
YY(2),432,OB(2),200
YY(2),463,WB(2),200
FB(1),11,YY(3),201
GR(2),5,RW(1),201
PP(2),54,OB(2),201
RR(2),127,WB(2),201
RW(1),373,OO(3),201
YY(2),24,FB(1),201
FB(1),269,WB(2),202
RR(2),101,YO(1),202
WB(2),538,BB(3),202
WW(1),127,LB(2),202
YO(1),258,YY(3),202
YY(2),40,OB(2),202
BP(1),55,GR(2),203
